Lat,Lon
-41.125,144.725
-41.042,144.793
-40.955,144.87
-40.866,144.958
-40.78,145.047
-40.705,145.117
-40.641,145.16
-40.585,145.193
-40.532,145.227
-40.216,145.8
-40.182,145.704
-40.179,145.541
-40.21,145.319
-40.254,145.068
-40.296,144.815
-40.34,144.562
-40.383,144.363
-40.414,144.27
-40.424,144.278
-40.418,144.336
-40.412,144.394
-40.404,144.452
-40.401,144.49
-40.41,144.489
-40.434,144.454
-40.464,144.404
-40.491,144.355
-40.516,144.305
-40.538,144.264
-40.561,144.235
-40.587,144.213
-40.619,144.193
-40.651,144.173
-40.685,144.154
-40.726,144.129
-40.778,144.102
-40.836,144.079
-40.895,144.063
-40.954,144.051
-41.013,144.041
-41.064,144.049
-41.101,144.081
-41.124,144.131
-41.139,144.189
-41.155,144.249
-41.172,144.307
-41.189,144.361
-41.204,144.403
-41.217,144.431
-41.23,144.453
-41.244,144.474
-41.258,144.495
-41.262,144.52
-41.244,144.554
-41.2,144.597
-41.14,144.644
-41.081,144.692
-41.021,144.739
-40.97,144.776
-40.938,144.793
-40.928,144.789
-40.93,144.773
-40.932,144.758
-40.934,144.743
-40.929,144.738
-40.909,144.754
-40.878,144.789
-40.842,144.833
-40.806,144.876
-40.771,144.919
-40.744,144.949
-40.731,144.958
-40.73,144.949
-40.733,144.931
-40.736,144.912
-40.738,144.893
-40.734,144.882
-40.72,144.883
-40.696,144.897
-40.667,144.916
-40.639,144.935
-40.612,144.955
-40.601,144.96
-40.62,144.938
-40.667,144.892
-40.729,144.834
-40.792,144.778
-40.858,144.721
-40.917,144.671
-40.963,144.63
-40.995,144.598
-41.019,144.571
-41.043,144.543
-41.065,144.516
-41.089,144.489
-41.115,144.465
-41.145,144.443
-41.176,144.42
-41.207,144.397
-41.237,144.373
-41.257,144.354
-41.259,144.348
-41.242,144.355
-41.215,144.368
-41.188,144.382
-41.16,144.394
-41.139,144.402
-41.135,144.405
-41.15,144.399
-41.176,144.39
-41.202,144.382
-41.229,144.374
-41.248,144.374
-41.253,144.388
-41.241,144.413
-41.221,144.442
-41.2,144.471
-41.181,144.5
-41.162,144.525
-41.146,144.54
-41.13,144.545
-41.115,144.545
-41.1,144.546
-41.086,144.546
-41.075,144.548
-41.07,144.551
-41.074,144.558
-41.084,144.566
-41.093,144.575
-41.102,144.583
-41.109,144.589
-41.109,144.59
-41.102,144.587
-41.091,144.584
-41.079,144.58
-41.068,144.576
-41.055,144.581
-41.043,144.602
-41.036,144.639
-41.033,144.681
-41.031,144.723
-41.029,144.764
-41.043,144.792
-41.077,144.794
